,City,Model,Variable,MSE,RMSE,MAE,RÂ²,MAPE
0,Kigali,LSTMModel,T2M,12.4869,3.5337,2.7118,0.7416,4.067
1,Kigali,LSTMModel,PS,0.0024,0.0491,0.0385,0.8593,0.0459
2,Kigali,LSTMModel,PREC,29.4953,5.431,3.0459,0.2145,842.8203
3,Kigali,GRUModel,T2M,12.0403,3.4699,2.675,0.7509,3.9882
4,Kigali,GRUModel,PS,0.0025,0.0496,0.039,0.8564,0.0464
5,Kigali,GRUModel,PREC,29.4448,5.4263,3.1399,0.2158,902.884
6,Kigali,BiLSTM,T2M,11.8499,3.4424,2.6935,0.7548,3.9444
7,Kigali,BiLSTM,PS,0.0025,0.0498,0.0393,0.8552,0.0468
8,Kigali,BiLSTM,PREC,29.0966,5.3941,2.9134,0.2251,714.2877
9,Kigali,BiGRU,T2M,11.8098,3.4365,2.6424,0.7556,3.9065
10,Kigali,BiGRU,PS,0.0026,0.0509,0.0401,0.8484,0.0478
11,Kigali,BiGRU,PREC,29.8353,5.4622,3.0244,0.2055,823.4082
12,Kigali,MyEnsemble,T2M,11.9369,3.455,2.666,0.753,3.9414
13,Kigali,MyEnsemble,PS,0.0025,0.0501,0.0395,0.8537,0.0471
14,Kigali,MyEnsemble,PREC,30.23,5.4982,2.9092,0.1949,651.7455
15,Abidjan,LSTMModel,T2M,7.2616,2.6947,2.052,0.8349,3.2282
16,Abidjan,LSTMModel,PS,0.0036,0.0602,0.0483,0.8539,0.0481
17,Abidjan,LSTMModel,PREC,35.9654,5.9971,3.3102,0.2625,347.9945
18,Abidjan,GRUModel,T2M,7.4861,2.7361,2.0823,0.8298,3.2665
19,Abidjan,GRUModel,PS,0.0037,0.0611,0.0492,0.8496,0.0489
20,Abidjan,GRUModel,PREC,35.6789,5.9732,3.3231,0.2683,365.2702
21,Abidjan,BiLSTM,T2M,6.3758,2.525,1.8982,0.855,2.9552
22,Abidjan,BiLSTM,PS,0.0037,0.0606,0.0481,0.8521,0.0478
23,Abidjan,BiLSTM,PREC,36.5676,6.0471,3.1866,0.2501,359.4971
24,Abidjan,BiGRU,T2M,6.222,2.4944,1.9174,0.8585,2.9405
25,Abidjan,BiGRU,PS,0.0037,0.0606,0.0484,0.852,0.0481
26,Abidjan,BiGRU,PREC,37.0915,6.0903,3.1288,0.2394,261.9967
27,Abidjan,MyEnsemble,T2M,6.271,2.5042,1.9276,0.8574,2.9558
28,Abidjan,MyEnsemble,PS,0.0036,0.0603,0.0481,0.8534,0.0479
29,Abidjan,MyEnsemble,PREC,35.9182,5.9932,3.0776,0.2634,292.3611
